Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)
3544	Spectrogram 1	1	18144.494995000	18144.520515000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	925.009300	44438.70000	67827.40000
3545	Spectrogram 1	1	18144.518495000	18144.556945000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	925.032800	68607.10000	87837.80000
3546	Spectrogram 1	1	18145.748595000	18145.789945000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	926.262900	48076.90000	56133.10000
3547	Spectrogram 1	1	18146.029295000	18146.047065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	926.543600	48596.70000	60810.80000
3548	Spectrogram 1	1	18146.045795000	18146.060325000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	926.560100	66528.10000	81341.00000
3549	Spectrogram 1	1	18147.582095000	18147.616665000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	928.096400	42879.40000	61850.30000
3550	Spectrogram 1	1	18148.654795000	18148.714565000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	929.169100	47297.30000	59251.60000
3551	Spectrogram 1	1	18148.831795000	18148.874445000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	929.346100	49636.20000	64189.20000
3552	Spectrogram 1	1	18149.871195000	18149.884125000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	930.385500	72505.20000	81081.10000
3553	Spectrogram 1	1	18150.775895000	18150.798505000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.290200	46517.70000	56392.90000
3554	Spectrogram 1	1	18150.831795000	18150.855385000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.346100	46777.50000	56392.90000
3555	Spectrogram 1	1	18150.987195000	18151.004315000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.501500	45478.20000	57172.60000
3556	Spectrogram 1	1	18151.002995000	18151.011075000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.517300	67307.70000	79521.80000
3557	Spectrogram 1	1	18151.023395000	18151.041815000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.537700	66528.10000	81341.00000
3558	Spectrogram 1	1	18151.276995000	18151.292505000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.791300	45997.90000	54573.80000
3559	Spectrogram 1	1	18151.294795000	18151.304485000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.809100	66268.20000	80821.20000
3560	Spectrogram 1	1	18151.316795000	18151.326485000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	931.831100	71205.80000	82640.30000
3562	Spectrogram 1	1	18151.561295000	18151.593925000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	932.075600	48076.90000	58471.90000
3563	Spectrogram 1	1	18153.564495000	18153.624265000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	934.078800	43399.20000	58991.70000
3564	Spectrogram 1	1	18153.886695000	18153.917065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	934.401000	46777.50000	55613.30000
3565	Spectrogram 1	1	18153.903795000	18153.917365000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	934.418100	64708.90000	78482.30000
3566	Spectrogram 1	1	18154.795895000	18154.925775000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.310200	49896.00000	57952.20000
3567	Spectrogram 1	1	18155.037795000	18155.063645000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.552100	67307.70000	80561.30000
3568	Spectrogram 1	1	18155.028795000	18155.040425000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.543100	50675.70000	62370.10000
3569	Spectrogram 1	1	18155.159595000	18155.220015000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.673900	48856.50000	58991.70000
3570	Spectrogram 1	1	18155.317995000	18155.339315000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.832300	49896.00000	60031.20000
3571	Spectrogram 1	1	18155.335395000	18155.384185000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.849700	66008.30000	89397.10000
3572	Spectrogram 1	1	18155.481395000	18155.526945000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	935.995700	47557.20000	58991.70000
3573	Spectrogram 1	1	18155.626495000	18155.671405000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	936.140800	47817.00000	62370.10000
3574	Spectrogram 1	1	18155.671695000	18155.709175000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	936.186000	66008.30000	87318.10000
3575	Spectrogram 1	1	18155.814595000	18155.878565000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	936.328900	47037.40000	58471.90000
3576	Spectrogram 1	1	18156.502095000	18156.525035000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.016400	47297.30000	59251.60000
3577	Spectrogram 1	1	18156.670095000	18156.702725000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.184400	45738.00000	56133.10000
3578	Spectrogram 1	1	18157.001595000	18157.015165000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.515900	52754.70000	62110.20000
3579	Spectrogram 1	1	18157.011295000	18157.043275000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.525600	69126.80000	80301.50000
3580	Spectrogram 1	1	18157.414495000	18157.443895000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.928800	51455.30000	63149.70000
3581	Spectrogram 1	1	18157.442595000	18157.469735000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	937.956900	66787.90000	84459.50000
3582	Spectrogram 1	1	18157.573495000	18157.610975000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.087800	50155.90000	60031.20000
3583	Spectrogram 1	1	18157.725995000	18157.738915000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.240300	56133.10000	64189.20000
3584	Spectrogram 1	1	18157.739895000	18157.766065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.254200	69126.80000	84719.30000
3585	Spectrogram 1	1	18157.888495000	18157.924685000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.402800	48856.50000	62889.80000
3586	Spectrogram 1	1	18158.055895000	18158.093365000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.570200	47037.40000	63929.30000
3587	Spectrogram 1	1	18158.220595000	18158.261625000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.734900	44438.70000	62110.20000
3588	Spectrogram 1	1	18158.261695000	18158.283015000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.776000	66528.10000	82640.30000
3589	Spectrogram 1	1	18158.413795000	18158.489395000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	938.928100	42099.80000	61590.40000
3590	Spectrogram 1	1	18158.575095000	18158.620325000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	939.089400	51455.30000	65228.70000
3591	Spectrogram 1	1	18158.616095000	18158.660365000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	939.130400	69386.70000	90436.60000
3592	Spectrogram 1	1	18158.756295000	18158.783435000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	939.270600	48596.70000	60291.10000
3593	Spectrogram 1	1	18158.904595000	18158.935615000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	939.418900	48076.90000	59251.60000
3594	Spectrogram 1	1	18159.850995000	18159.899455000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	940.365300	38981.30000	48336.80000
3595	Spectrogram 1	1	18159.896195000	18159.909435000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	940.410500	57692.30000	69906.40000
3596	Spectrogram 1	1	18159.832195000	18159.842855000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	940.346500	63669.40000	72245.30000
3597	Spectrogram 1	1	18160.656495000	18160.674265000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	941.170800	51195.40000	64708.90000
3598	Spectrogram 1	1	18161.333695000	18161.376665000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	941.848000	64449.10000	78222.50000
3599	Spectrogram 1	1	18161.324295000	18161.337535000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	941.838600	45478.20000	57172.60000
3600	Spectrogram 1	1	18162.936495000	18162.956205000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	943.450800	45997.90000	59771.30000
3601	Spectrogram 1	1	18163.359095000	18163.373635000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	943.873400	70166.30000	78222.50000
3602	Spectrogram 1	1	18163.346195000	18163.362675000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	943.860500	49116.40000	61070.70000
3603	Spectrogram 1	1	18164.179095000	18164.204295000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	944.693400	45478.20000	63669.40000
3604	Spectrogram 1	1	18164.496695000	18164.515435000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.011000	46257.80000	59511.40000
3605	Spectrogram 1	1	18164.509695000	18164.568495000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.024000	63669.40000	79781.70000
3606	Spectrogram 1	1	18164.655995000	18164.793955000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.170300	46257.80000	58991.70000
3607	Spectrogram 1	1	18164.872795000	18164.895085000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.387100	50415.80000	65488.60000
3608	Spectrogram 1	1	18164.892495000	18164.924475000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.406800	67047.80000	88617.50000
3609	Spectrogram 1	1	18165.390095000	18165.424665000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.904400	44958.40000	58731.80000
3610	Spectrogram 1	1	18165.411695000	18165.455315000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	945.926000	63149.70000	84199.60000
3611	Spectrogram 1	1	18165.562595000	18165.624625000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	946.076900	44438.70000	54573.80000
3612	Spectrogram 1	1	18166.013995000	18166.028215000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	946.528300	48076.90000	59771.30000
3613	Spectrogram 1	1	18166.024995000	18166.054395000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	946.539300	67827.40000	76663.20000
3614	Spectrogram 1	1	18166.312895000	18166.345855000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	946.827200	44438.70000	55613.30000
3615	Spectrogram 1	1	18166.336395000	18166.377095000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	946.850700	66008.30000	77183.00000
3616	Spectrogram 1	1	18166.760295000	18166.875305000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	947.274600	45738.00000	58471.90000
3617	Spectrogram 1	1	18167.243395000	18167.262135000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	947.757700	46517.70000	57432.40000
3618	Spectrogram 1	1	18167.258895000	18167.288615000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	947.773200	66787.90000	76663.20000
3619	Spectrogram 1	1	18167.555495000	18167.580045000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	948.069800	46517.70000	59771.30000
3620	Spectrogram 1	1	18167.575795000	18167.600995000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	948.090100	63929.30000	81081.10000
3621	Spectrogram 1	1	18167.863395000	18167.899575000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	948.377700	45478.20000	57692.30000
3622	Spectrogram 1	1	18168.494995000	18168.528265000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	949.009300	44698.50000	62629.90000
3623	Spectrogram 1	1	18168.524795000	18168.537715000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	949.039100	65748.40000	80301.50000
3624	Spectrogram 1	1	18168.651395000	18168.693725000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	949.165700	44438.70000	64708.90000
3625	Spectrogram 1	1	18169.336995000	18169.351535000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	949.851300	52754.70000	61850.30000
3626	Spectrogram 1	1	18169.346695000	18169.362845000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	949.861000	70426.20000	80821.20000
3627	Spectrogram 1	1	18169.767095000	18169.797465000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	950.281400	46257.80000	58731.80000
3628	Spectrogram 1	1	18169.793895000	18169.808435000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	950.308200	66008.30000	79262.00000
3629	Spectrogram 1	1	18169.830095000	18169.838175000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	950.344400	63929.30000	79262.00000
3630	Spectrogram 1	1	18170.527895000	18170.566335000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.042200	46777.50000	55613.30000
3631	Spectrogram 1	1	18170.850995000	18170.879105000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.365300	46257.80000	58471.90000
3632	Spectrogram 1	1	18170.877895000	18170.886945000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.392200	64968.80000	78222.50000
3633	Spectrogram 1	1	18171.025795000	18171.056805000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.540100	45218.30000	60291.10000
3634	Spectrogram 1	1	18171.055195000	18171.084915000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.569500	63409.60000	77702.70000
3635	Spectrogram 1	1	18171.353395000	18171.364705000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	951.867700	46777.50000	56912.70000
3636	Spectrogram 1	1	18171.523395000	18171.548915000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.037700	48336.80000	55353.40000
3637	Spectrogram 1	1	18171.795395000	18171.837075000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.309700	41580.00000	60550.90000
3638	Spectrogram 1	1	18171.830695000	18171.858805000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.345000	65488.60000	78222.50000
3639	Spectrogram 1	1	18172.098495000	18172.152125000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.612800	48336.80000	57432.40000
3640	Spectrogram 1	1	18172.280695000	18172.350155000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.795000	46517.70000	54833.70000
3641	Spectrogram 1	1	18172.454595000	18172.471065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.968900	46257.80000	55873.20000
3642	Spectrogram 1	1	18172.470095000	18172.479135000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	952.984400	62629.90000	74064.40000
3643	Spectrogram 1	1	18172.500095000	18172.533055000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	953.014400	68087.30000	77183.00000
3644	Spectrogram 1	1	18172.646095000	18172.695525000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	953.160400	48856.50000	60291.10000
3645	Spectrogram 1	1	18172.793195000	18172.807735000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	953.307500	46777.50000	59771.30000
3646	Spectrogram 1	1	18173.732695000	18173.744325000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	954.247000	49116.40000	59511.40000
3647	Spectrogram 1	1	18173.879695000	18173.909105000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	954.394000	50415.80000	60031.20000
3648	Spectrogram 1	1	18174.117795000	18174.130395000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	954.632100	52234.90000	60810.80000
3649	Spectrogram 1	1	18174.242595000	18174.293645000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	954.756900	49116.40000	58212.10000
3650	Spectrogram 1	1	18174.660595000	18174.692895000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	955.174900	49116.40000	56652.80000
3651	Spectrogram 1	1	18174.521995000	18174.533305000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	955.036300	55093.60000	63409.60000
3652	Spectrogram 1	1	18177.278295000	18177.291865000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	957.792600	52234.90000	61070.70000
3653	Spectrogram 1	1	18178.488295000	18178.499925000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	959.002600	69386.70000	77962.60000
3654	Spectrogram 1	1	18178.934195000	18178.947765000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	959.448500	50155.90000	55613.30000
3655	Spectrogram 1	1	18180.535595000	18180.564025000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	961.049900	47037.40000	59511.40000
3656	Spectrogram 1	1	18183.172295000	18183.192325000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	963.686600	47297.30000	54833.70000
3657	Spectrogram 1	1	18183.507995000	18183.541915000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	964.022300	51715.20000	59511.40000
3658	Spectrogram 1	1	18184.174295000	18184.192065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	964.688600	46517.70000	56392.90000
3659	Spectrogram 1	1	18184.514495000	18184.542925000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	965.028800	47817.00000	59771.30000
3660	Spectrogram 1	1	18184.664695000	18184.705405000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	965.179000	52234.90000	67827.40000
3661	Spectrogram 1	1	18185.122195000	18185.141255000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	965.636500	45997.90000	54573.80000
3662	Spectrogram 1	1	18186.566795000	18186.609765000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	967.081100	45478.20000	54054.10000
3663	Spectrogram 1	1	18186.757995000	18186.768975000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	967.272300	69646.60000	75883.60000
3664	Spectrogram 1	1	18186.750595000	18186.763205000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	967.264900	46517.70000	56912.70000
3665	Spectrogram 1	1	18187.387095000	18187.418755000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	967.901400	44958.40000	56912.70000
3666	Spectrogram 1	1	18187.590695000	18187.604585000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	968.105000	49376.30000	56912.70000
3667	Spectrogram 1	1	18188.201295000	18188.219385000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	968.715600	46777.50000	57432.40000
3668	Spectrogram 1	1	18189.136295000	18189.160525000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	969.650600	48856.50000	55613.30000
3669	Spectrogram 1	1	18190.379295000	18190.443265000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	970.893600	49896.00000	60031.20000
3670	Spectrogram 1	1	18190.781195000	18190.839675000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	971.295500	50935.60000	69906.40000
3671	Spectrogram 1	1	18191.268795000	18191.317265000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	971.783100	51715.20000	69906.40000
3672	Spectrogram 1	1	18192.144695000	18192.166665000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	972.659000	50155.90000	63669.40000
3673	Spectrogram 1	1	18192.915895000	18192.927525000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	973.430200	45997.90000	55613.30000
3674	Spectrogram 1	1	18192.926595000	18192.964075000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	973.440900	64968.80000	81081.10000
3675	Spectrogram 1	1	18193.671595000	18193.711015000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	974.185900	47817.00000	62110.20000
3676	Spectrogram 1	1	18193.963995000	18193.998565000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	974.478300	45738.00000	58731.80000
3677	Spectrogram 1	1	18195.228895000	18195.246985000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	975.743200	43139.30000	59251.60000
3678	Spectrogram 1	1	18195.729995000	18195.758425000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	976.244300	49636.20000	59511.40000
3679	Spectrogram 1	1	18196.011795000	18196.022455000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	976.526100	46777.50000	58991.70000
3680	Spectrogram 1	1	18196.353295000	18196.392065000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	976.867600	51195.40000	61070.70000
3681	Spectrogram 1	1	18196.948395000	18196.971655000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	977.462700	48856.50000	67827.40000
3682	Spectrogram 1	1	18197.057995000	18197.090305000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	977.572300	48856.50000	63409.60000
3683	Spectrogram 1	1	18198.172295000	18198.240785000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	978.686600	47297.30000	64708.90000
3684	Spectrogram 1	1	18199.162595000	18199.186185000	T0000003.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000003.WAV	979.676900	51195.40000	66787.90000
