Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Low Freq (Hz)	High Freq (Hz)	type	subtype
246	Spectrogram 1	1	1845.137800000	1845.169528541	T0000015 sinmarcas.wav	63038.793	79741.379	50	NA
247	Spectrogram 1	1	1848.735416013	1848.755255883	T0000015 sinmarcas.wav	72737.069	81357.759	50	NA
248	Spectrogram 1	1	1851.191566775	1851.211406645	T0000015 sinmarcas.wav	53879.310	62500.000	50	NA
249	Spectrogram 1	1	1851.547175381	1851.565692593	T0000015 sinmarcas.wav	68426.724	81896.552	50	NA
250	Spectrogram 1	1	1853.610900000	1853.646742593	T0000015 sinmarcas.wav	52801.724	61422.414	50	NA
251	Spectrogram 1	1	1855.063400000	1855.121300000	T0000015 sinmarcas.wav	53340.517	58189.655	50	NA
252	Spectrogram 1	1	1860.216493355	1860.230100000	T0000015 sinmarcas.wav	65732.759	73814.655	50	NA
253	Spectrogram 1	1	1865.260434749	1865.291200000	T0000015 sinmarcas.wav	66271.552	78125.000	50	NA
254	Spectrogram 1	1	1866.811262091	1866.832424619	T0000015 sinmarcas.wav	52262.931	56573.276	50	NA
255	Spectrogram 1	1	1870.997340195	1871.054214489	T0000015 sinmarcas.wav	53879.310	59806.034	50	NA
256	Spectrogram 1	1	1876.865243355	1876.875200000	T0000015 sinmarcas.wav	65193.966	71659.483	50	NA
257	Spectrogram 1	1	1877.271400000	1877.308300000	T0000015 sinmarcas.wav	52262.931	60344.828	50	NA
258	Spectrogram 1	1	1882.604471459	1882.638860567	T0000015 sinmarcas.wav	53340.517	61961.207	50	NA
259	Spectrogram 1	1	1884.497900000	1884.554100000	T0000015 sinmarcas.wav	63577.586	84051.724	50	NA
260	Spectrogram 1	1	1886.332800000	1886.352200000	T0000015 sinmarcas.wav	53879.310	63577.586	50	NA
261	Spectrogram 1	1	1888.154500000	1888.177997277	T0000015 sinmarcas.wav	55495.690	63038.793	50	NA
262	Spectrogram 1	1	1888.265292705	1888.301004471	T0000015 sinmarcas.wav	51724.138	60344.828	50	NA
263	Spectrogram 1	1	1890.806258169	1890.851228541	T0000015 sinmarcas.wav	53340.517	62500.000	50	NA
264	Spectrogram 1	1	1893.793676143	1893.828065251	T0000015 sinmarcas.wav	53340.517	60344.828	50	NA
265	Spectrogram 1	1	1900.491828653	1900.511668523	T0000015 sinmarcas.wav	54418.103	60883.621	50	NA
266	Spectrogram 1	1	1900.596318634	1900.654515586	T0000015 sinmarcas.wav	50646.552	62500.000	50	NA
267	Spectrogram 1	1	1902.795700000	1902.830500000	T0000015 sinmarcas.wav	50646.552	56573.276	50	NA
268	Spectrogram 1	1	1903.135700000	1903.166915251	T0000015 sinmarcas.wav	50646.552	61961.207	50	NA
269	Spectrogram 1	1	1903.766971459	1903.782843355	T0000015 sinmarcas.wav	51185.345	58728.448	50	NA
270	Spectrogram 1	1	1907.268500000	1907.291351961	T0000015 sinmarcas.wav	56034.483	63577.586	50	NA
271	Spectrogram 1	1	1922.960453485	1923.000133225	T0000015 sinmarcas.wav	64655.172	79202.586	50	NA
272	Spectrogram 1	1	1924.049556645	1924.077000000	T0000015 sinmarcas.wav	53879.310	59267.241	50	NA
273	Spectrogram 1	1	1928.087000000	1928.119265251	T0000015 sinmarcas.wav	56573.276	64655.172	50	NA
274	Spectrogram 1	1	1928.391225381	1928.411065251	T0000015 sinmarcas.wav	72737.069	84051.724	50	NA
275	Spectrogram 1	1	1930.440600000	1930.482578541	T0000015 sinmarcas.wav	64655.172	81896.552	50	NA
276	Spectrogram 1	1	1933.580207407	1933.592111329	T0000015 sinmarcas.wav	54956.897	61422.414	50	NA
277	Spectrogram 1	1	1937.533820697	1937.545100000	T0000015 sinmarcas.wav	65732.759	74892.241	50	NA
278	Spectrogram 1	1	1940.630171459	1940.658000000	T0000015 sinmarcas.wav	52262.931	59806.034	50	NA
279	Spectrogram 1	1	1943.696800000	1943.749087147	T0000015 sinmarcas.wav	51724.138	59267.241	50	NA
280	Spectrogram 1	1	1944.673087259	1944.693200000	T0000015 sinmarcas.wav	68426.724	79741.379	50	NA
281	Spectrogram 1	1	1945.002900000	1945.049500000	T0000015 sinmarcas.wav	49030.172	54418.103	50	NA
282	Spectrogram 1	1	1945.693526143	1945.737100000	T0000015 sinmarcas.wav	66810.345	81896.552	50	NA
283	Spectrogram 1	1	1948.147700000	1948.176387909	T0000015 sinmarcas.wav	52801.724	60883.621	50	NA
284	Spectrogram 1	1	1949.694900000	1949.735423857	T0000015 sinmarcas.wav	70581.897	89978.448	50	NA
285	Spectrogram 1	1	1953.504700000	1953.563100000	T0000015 sinmarcas.wav	68965.517	87284.483	50	NA
286	Spectrogram 1	1	1956.843900000	1956.870242593	T0000015 sinmarcas.wav	49568.966	57112.069	50	NA
287	Spectrogram 1	1	1957.056737370	1957.091126478	T0000015 sinmarcas.wav	70581.897	86745.690	50	NA
288	Spectrogram 1	1	1961.228700000	1961.266851199	T0000015 sinmarcas.wav	65732.759	81896.552	50	NA
289	Spectrogram 1	1	1961.372663839	1961.401762315	T0000015 sinmarcas.wav	64655.172	76508.621	50	NA
290	Spectrogram 1	1	1961.582500000	1961.605100000	T0000015 sinmarcas.wav	55495.690	61961.207	50	NA
291	Spectrogram 1	1	1962.223500000	1962.269187909	T0000015 sinmarcas.wav	51185.345	57650.862	50	NA
292	Spectrogram 1	1	1962.785561329	1962.794819935	T0000015 sinmarcas.wav	74353.448	82435.345	50	NA
293	Spectrogram 1	1	1963.105434749	1963.126597277	T0000015 sinmarcas.wav	54418.103	60344.828	50	NA
294	Spectrogram 1	1	1967.119800000	1967.140200000	T0000015 sinmarcas.wav	77586.207	84051.724	50	NA
295	Spectrogram 1	1	1971.304900000	1971.334247277	T0000015 sinmarcas.wav	53879.310	61961.207	50	NA
296	Spectrogram 1	1	1975.152500000	1975.192000000	T0000015 sinmarcas.wav	51185.345	59267.241	50	NA
297	Spectrogram 1	1	1975.374639433	1975.390511329	T0000015 sinmarcas.wav	51185.345	59806.034	50	NA
298	Spectrogram 1	1	1978.609600000	1978.631813188	T0000015 sinmarcas.wav	51724.138	58189.655	50	NA
299	Spectrogram 1	1	1979.619198039	1979.647400000	T0000015 sinmarcas.wav	74353.448	85129.310	50	NA
300	Spectrogram 1	1	1981.445500000	1981.502541831	T0000015 sinmarcas.wav	50646.552	57650.862	50	NA
301	Spectrogram 1	1	1988.496800000	1988.523400000	T0000015 sinmarcas.wav	47952.586	57650.862	50	NA
302	Spectrogram 1	1	1992.895744117	1992.935400000	T0000015 sinmarcas.wav	67349.138	86745.690	50	NA
303	Spectrogram 1	1	1993.012600000	1993.031977891	T0000015 sinmarcas.wav	49568.966	56573.276	50	NA
304	Spectrogram 1	1	1999.611800000	1999.646115251	T0000015 sinmarcas.wav	56034.483	63038.793	50	NA
305	Spectrogram 1	1	2006.805744879	2006.852037909	T0000015 sinmarcas.wav	61961.207	81357.759	50	NA
306	Spectrogram 1	1	2008.347600000	2008.363156645	T0000015 sinmarcas.wav	51185.345	57650.862	50	NA
307	Spectrogram 1	1	2012.793800000	2012.810100000	T0000015 sinmarcas.wav	50107.759	58189.655	50	NA
308	Spectrogram 1	1	2015.455600000	2015.470301961	T0000015 sinmarcas.wav	65732.759	76508.621	50	NA
309	Spectrogram 1	1	2015.560600000	2015.585200000	T0000015 sinmarcas.wav	58189.655	63038.793	50	NA
310	Spectrogram 1	1	2017.087800000	2017.118100000	T0000015 sinmarcas.wav	65732.759	82435.345	50	NA
311	Spectrogram 1	1	2017.393500000	2017.416100000	T0000015 sinmarcas.wav	67349.138	81896.552	50	NA
312	Spectrogram 1	1	2020.818997277	2020.836300000	T0000015 sinmarcas.wav	71120.690	88900.862	50	NA
313	Spectrogram 1	1	2025.349895214	2025.369735084	T0000015 sinmarcas.wav	66810.345	77047.414	50	NA
314	Spectrogram 1	1	2032.699800000	2032.723300000	T0000015 sinmarcas.wav	53340.517	57650.862	50	NA
315	Spectrogram 1	1	2035.322800000	2035.359723857	T0000015 sinmarcas.wav	65193.966	81357.759	50	NA
316	Spectrogram 1	1	2037.048448039	2037.062100000	T0000015 sinmarcas.wav	68426.724	80818.966	50	NA
317	Spectrogram 1	1	2039.204720697	2039.222100000	T0000015 sinmarcas.wav	71659.483	85129.310	50	NA
318	Spectrogram 1	1	2039.517700000	2039.545200000	T0000015 sinmarcas.wav	75431.034	85668.103	50	NA
319	Spectrogram 1	1	2041.628916775	2041.658015251	T0000015 sinmarcas.wav	51724.138	61961.207	50	NA
320	Spectrogram 1	1	2043.116112091	2043.157400000	T0000015 sinmarcas.wav	52801.724	56573.276	50	NA
321	Spectrogram 1	1	2048.553900000	2048.576324619	T0000015 sinmarcas.wav	57112.069	61961.207	50	NA
322	Spectrogram 1	1	2055.685816775	2055.710947277	T0000015 sinmarcas.wav	56573.276	64655.172	50	NA
323	Spectrogram 1	1	2056.338800000	2056.364000000	T0000015 sinmarcas.wav	57112.069	61961.207	50	NA
324	Spectrogram 1	1	2059.031000000	2059.060001961	T0000015 sinmarcas.wav	53879.310	72198.276	50	NA
325	Spectrogram 1	1	2070.258189433	2070.281997277	T0000015 sinmarcas.wav	53879.310	61422.414	50	NA
326	Spectrogram 1	1	2070.381196627	2070.410100000	T0000015 sinmarcas.wav	68965.517	84590.517	50	NA
327	Spectrogram 1	1	2097.331244117	2097.364500000	T0000015 sinmarcas.wav	54418.103	63577.586	50	NA
328	Spectrogram 1	1	2110.523702723	2110.539300000	T0000015 sinmarcas.wav	57112.069	64655.172	50	NA
329	Spectrogram 1	1	2126.811500000	2126.827383987	T0000015 sinmarcas.wav	53879.310	59267.241	50	NA
330	Spectrogram 1	1	2143.431107407	2143.454915251	T0000015 sinmarcas.wav	55495.690	63038.793	50	NA
331	Spectrogram 1	1	2147.384207407	2147.409337909	T0000015 sinmarcas.wav	63577.586	75969.828	50	NA
332	Spectrogram 1	1	2156.378600000	2156.398574619	T0000015 sinmarcas.wav	57650.862	65732.759	50	NA
333	Spectrogram 1	1	2159.070500000	2159.096919935	T0000015 sinmarcas.wav	56573.276	64655.172	50	NA
334	Spectrogram 1	1	2168.599294117	2168.633300000	T0000015 sinmarcas.wav	55495.690	63038.793	50	NA
335	Spectrogram 1	1	2168.953800000	2168.975529303	T0000015 sinmarcas.wav	51185.345	61422.414	50	NA
336	Spectrogram 1	1	2170.866600000	2170.912723857	T0000015 sinmarcas.wav	59267.241	67887.931	50	NA
337	Spectrogram 1	1	2199.069500000	2199.084400000	T0000015 sinmarcas.wav	52262.931	59806.034	50	NA
338	Spectrogram 1	1	2207.010700000	2207.081291831	T0000015 sinmarcas.wav	63038.793	84590.517	50	NA
339	Spectrogram 1	1	2216.229853485	2216.271200000	T0000015 sinmarcas.wav	43103.448	55495.690	50	NA
340	Spectrogram 1	1	2216.577726905	2216.643859805	T0000015 sinmarcas.wav	45797.414	55495.690	50	NA
341	Spectrogram 1	1	2226.096600000	2226.110783987	T0000015 sinmarcas.wav	45797.414	54956.897	50	NA
342	Spectrogram 1	1	2229.179871459	2229.216300000	T0000015 sinmarcas.wav	49568.966	55495.690	50	NA
343	Spectrogram 1	1	2229.739900000	2229.778300000	T0000015 sinmarcas.wav	57112.069	74353.448	50	NA
344	Spectrogram 1	1	2233.673906645	2233.683165251	T0000015 sinmarcas.wav	77586.207	86206.897	50	NA
345	Spectrogram 1	1	2238.183421459	2238.220455883	T0000015 sinmarcas.wav	60883.621	74892.241	50	NA
346	Spectrogram 1	1	2268.203800000	2268.221400000	T0000015 sinmarcas.wav	67349.138	81357.759	50	NA
347	Spectrogram 1	1	2268.321719285	2268.352500000	T0000015 sinmarcas.wav	69504.310	88900.862	50	NA
348	Spectrogram 1	1	2285.570000000	2285.593500000	T0000015 sinmarcas.wav	56034.483	63038.793	50	NA
349	Spectrogram 1	1	2299.424800000	2299.459900000	T0000015 sinmarcas.wav	0.000	125000.000	50	NA
350	Spectrogram 1	1	2299.971400000	2299.995219935	T0000015 sinmarcas.wav	50107.759	59267.241	50	NA
351	Spectrogram 1	1	2359.229900000	2359.270200000	T0000015 sinmarcas.wav	53340.517	64116.379	50	NA
352	Spectrogram 1	1	2373.958400000	2373.992837909	T0000015 sinmarcas.wav	52262.931	59267.241	50	NA
353	Spectrogram 1	1	2388.868600000	2388.904200000	T0000015 sinmarcas.wav	68965.517	83512.931	50	NA
354	Spectrogram 1	1	2390.058800000	2390.077300000	T0000015 sinmarcas.wav	72737.069	86206.897	50	NA
355	Spectrogram 1	1	2390.258000000	2390.294885846	T0000015 sinmarcas.wav	49030.172	61422.414	50	NA
356	Spectrogram 1	1	2391.288125381	2391.310300000	T0000015 sinmarcas.wav	71120.690	80280.172	50	NA
357	Spectrogram 1	1	2391.754194117	2391.774033987	T0000015 sinmarcas.wav	51724.138	57650.862	50	NA
358	Spectrogram 1	1	2393.785080065	2393.803597277	T0000015 sinmarcas.wav	64116.379	81357.759	50	NA
359	Spectrogram 1	1	2408.353700000	2408.373324619	T0000015 sinmarcas.wav	55495.690	65193.966	50	NA
360	Spectrogram 1	1	2408.588800000	2408.643146850	T0000015 sinmarcas.wav	53340.517	61961.207	50	NA
361	Spectrogram 1	1	2408.714600000	2408.735100000	T0000015 sinmarcas.wav	53340.517	62500.000	50	NA
362	Spectrogram 1	1	2410.009000000	2410.026300000	T0000015 sinmarcas.wav	55495.690	64116.379	50	NA
363	Spectrogram 1	1	2422.576844117	2422.610300000	T0000015 sinmarcas.wav	74892.241	90517.241	50	NA
364	Spectrogram 1	1	2423.161252723	2423.182415251	T0000015 sinmarcas.wav	68965.517	84051.724	50	NA
365	Spectrogram 1	1	2423.576566775	2423.607100000	T0000015 sinmarcas.wav	50107.759	58728.448	50	NA
366	Spectrogram 1	1	2428.624700000	2428.672300000	T0000015 sinmarcas.wav	51185.345	56034.483	50	NA
367	Spectrogram 1	1	2444.092026143	2444.129060567	T0000015 sinmarcas.wav	54418.103	64116.379	50	NA
368	Spectrogram 1	1	2444.297100000	2444.308942054	T0000015 sinmarcas.wav	66810.345	75969.828	50	NA
369	Spectrogram 1	1	2446.039000000	2446.066842593	T0000015 sinmarcas.wav	54418.103	65732.759	50	NA
371	Spectrogram 1	1	2448.888525381	2448.911010567	T0000015 sinmarcas.wav	71120.690	88362.069	50	NA
373	Spectrogram 1	1	2450.978700000	2450.994600000	T0000015 sinmarcas.wav	54956.897	63038.793	50	NA
374	Spectrogram 1	1	2469.882800000	2469.901383987	T0000015 sinmarcas.wav	67887.931	77586.207	50	NA
376	Spectrogram 1	1	2474.251662853	2474.300200000	T0000015 sinmarcas.wav	64116.379	81896.552	50	NA
377	Spectrogram 1	1	2477.089800000	2477.110100000	T0000015 sinmarcas.wav	27478.448	33943.966	50	NA
378	Spectrogram 1	1	2477.743685511	2477.789978541	T0000015 sinmarcas.wav	47413.793	60344.828	50	NA
379	Spectrogram 1	1	2481.132684749	2481.147233987	T0000015 sinmarcas.wav	55495.690	63577.586	50	NA
383	Spectrogram 1	1	2493.278500000	2493.304100000	T0000015 sinmarcas.wav	45258.621	50107.759	50	NA
384	Spectrogram 1	1	2493.857600000	2493.875200000	T0000015 sinmarcas.wav	61422.414	67887.931	50	NA
385	Spectrogram 1	1	2494.509470697	2494.521374619	T0000015 sinmarcas.wav	65732.759	77586.207	50	NA
388	Spectrogram 1	1	2541.873748039	2541.892500000	T0000015 sinmarcas.wav	73275.862	80818.966	50	NA
391	Spectrogram 1	1	2572.921800000	2572.946200000	T0000015 sinmarcas.wav	50646.552	57650.862	50	NA
392	Spectrogram 1	1	2584.240630065	2584.258500000	T0000015 sinmarcas.wav	69504.310	79741.379	50	NA
393	Spectrogram 1	1	2598.605700000	2598.630300000	T0000015 sinmarcas.wav	68426.724	83512.931	50	NA
394	Spectrogram 1	1	2741.584900000	2741.615900000	T0000015 sinmarcas.wav	60344.828	64655.172	50	NA
395	Spectrogram 1	1	279.536125075	279.551833904	T0000015 sinmarcas.wav	45258.621	53879.310	50	NA
396	Spectrogram 1	1	1013.521313597	1013.541153467	T0000015 sinmarcas.wav	73814.655	83512.931	50	NA
397	Spectrogram 1	1	1055.272713732	1055.296523388	T0000015 sinmarcas.wav	70581.897	82974.138	50	NA
398	Spectrogram 1	1	1073.641076017	1073.669351910	T0000015 sinmarcas.wav	50646.552	60883.621	50	NA
399	Spectrogram 1	1	1085.557051315	1085.574288448	T0000015 sinmarcas.wav	48491.379	55495.690	50	NA
400	Spectrogram 1	1	1143.694317783	1143.709984033	T0000015 sinmarcas.wav	45258.621	52801.724	50	NA
401	Spectrogram 1	1	1162.483597495	1162.496164559	T0000015 sinmarcas.wav	50107.759	59267.241	50	NA
402	Spectrogram 1	1	236.930843392	236.947714239	T0000015 sinmarcas.wav	70581.897	83115.183	50	NA
403	Spectrogram 1	1	1284.692414814	1284.712916013	T0000015 sinmarcas.wav	50646.552	59267.241	50	NA
404	Spectrogram 1	1	1441.733703485	1441.748252723	T0000015 sinmarcas.wav	42564.655	49568.966	50	NA
405	Spectrogram 1	1	1538.440298039	1538.474687147	T0000015 sinmarcas.wav	58189.655	60883.621	50	NA
406	Spectrogram 1	1	1588.937658169	1588.970724619	T0000015 sinmarcas.wav	51724.138	61422.414	50	NA
407	Spectrogram 1	1	1733.158413077	1733.188834210	T0000015 sinmarcas.wav	65193.966	77586.207	50	NA
408	Spectrogram 1	1	1748.413408169	1748.447797277	T0000015 sinmarcas.wav	46336.207	54418.103	50	NA
409	Spectrogram 1	1	1819.898492593	1819.909073857	T0000015 sinmarcas.wav	71659.483	80280.172	50	NA
410	Spectrogram 1	1	1824.459076143	1824.478916013	T0000015 sinmarcas.wav	44719.828	51724.138	50	NA
411	Spectrogram 1	1	1825.750339433	1825.770179303	T0000015 sinmarcas.wav	46875.000	55495.690	50	NA
412	Spectrogram 1	1	1826.053703485	1826.078833987	T0000015 sinmarcas.wav	45797.414	53879.310	50	NA
413	Spectrogram 1	1	1829.027161329	1829.039065251	T0000015 sinmarcas.wav	64655.172	75431.034	50	
414	Spectrogram 1	1	1833.172708169	1833.185934749	T0000015 sinmarcas.wav	47952.586	56034.483	50	
415	Spectrogram 1	1	1842.724416775	1842.750869935	T0000015 sinmarcas.wav	52262.931	60344.828	50	
416	Spectrogram 1	1	1843.158744117	1843.187842593	T0000015 sinmarcas.wav	49030.172	58189.655	50	
417	Spectrogram 1	1	1848.718221459	1848.738061329	T0000015 sinmarcas.wav	53340.517	60883.621	50	
418	Spectrogram 1	1	1851.206116013	1851.221987909	T0000015 sinmarcas.wav	70581.897	85668.103	50	
419	Spectrogram 1	1	1851.539239433	1851.551143355	T0000015 sinmarcas.wav	55495.690	60883.621	50	
420	Spectrogram 1	1	1853.640129303	1853.663937147	T0000015 sinmarcas.wav	65732.759	81896.552	50	
421	Spectrogram 1	1	1860.208557407	1860.224429303	T0000015 sinmarcas.wav	47952.586	54418.103	50	
422	Spectrogram 1	1	1903.157656645	1903.173528541	T0000015 sinmarcas.wav	69504.310	79741.379	50	
423	Spectrogram 1	1	1928.379321459	1928.392548039	T0000015 sinmarcas.wav	53340.517	58728.448	50	
424	Spectrogram 1	1	1975.385220697	1975.403737909	T0000015 sinmarcas.wav	68426.724	78125.000	50	
425	Spectrogram 1	1	2006.853360567	2006.866587147	T0000015 sinmarcas.wav	51185.345	59806.034	50	
426	Spectrogram 1	1	2020.781962853	2020.824287909	T0000015 sinmarcas.wav	53879.310	66271.552	50	
427	Spectrogram 1	1	2025.322119396	2025.355185846	T0000015 sinmarcas.wav	49030.172	59267.241	50	
428	Spectrogram 1	1	2070.370615363	2070.389132575	T0000015 sinmarcas.wav	54418.103	61422.414	50	
429	Spectrogram 1	1	2299.988606645	2299.999187909	T0000015 sinmarcas.wav	70581.897	78125.000	50	
430	Spectrogram 1	1	2391.769404684	2391.792551199	T0000015 sinmarcas.wav	68426.724	79202.586	50	
431	Spectrogram 1	1	2446.062213290	2446.074778541	T0000015 sinmarcas.wav	76508.621	87823.276	50	
